trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",30,11,-34.70251764140097,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,9,21.15084044361765,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,11,16.704568452595144,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,13,15.025539527508196,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,14,19.13141375683958,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,0,20.856692532072877,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,0,4.722728689094847,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,17,14.66942229319716,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,2,-8.15775367687855,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",25,18,13.59514086663718,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,3,4.385699949304371,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",25,20,9.535015708035319,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,15,9.981189957945972,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",30,22,9.736173717165649,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,10,19.206634972251855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,18,16.0225744071381,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,7,32.259391204130836,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,7,30.185902564897646,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
