trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
969,False,"{'a': 0.1, 'e': 0.8826281148374443}",20,0,-101.0404104305888,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
970,False,"{'a': 0.1, 'e': 0.9251475365964139}",20,0,-13.094940869499831,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
971,False,"{'a': 0.1, 'e': 0.958423189982834}",20,0,-191.33251387213775,"{0: 9, 1: 6, 2: 1, 3: 0, 4: 4}",0
972,False,"{'a': 0.1, 'e': 0.9821225956675267}",20,0,-61.76451143758407,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
973,False,"{'a': 0.1, 'e': 0.9960089570228793}",30,0,-157.1213946748335,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
974,False,"{'a': 0.1, 'e': 0.9999435261164458}",25,0,-187.2111106229429,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
975,False,"{'a': 0.1, 'e': 0.9938869900344416}",25,0,-62.55789986855819,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
976,False,"{'a': 0.1, 'e': 0.9778998636833706}",20,0,-92.55929749708666,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
977,False,"{'a': 0.1, 'e': 0.9521418851450957}",25,0,-58.31628344994692,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
978,False,"{'a': 0.1, 'e': 0.9168704196267085}",30,0,-115.33920841012333,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
979,False,"{'a': 0.1, 'e': 0.8724378879524822}",25,0,-133.4346357264837,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
980,False,"{'a': 0.1, 'e': 0.8192882452914593}",25,0,-141.18014747898528,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
981,False,"{'a': 0.1, 'e': 0.7579525453041631}",20,15,-4.4268549798998205,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
982,False,"{'a': 0.1, 'e': 0.6890436340299974}",30,14,-7.067376866835064,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
983,False,"{'a': 0.1, 'e': 0.6132500265321366}",25,0,-53.385859948015096,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
984,False,"{'a': 0.1, 'e': 0.5313290274826848}",25,0,6.540867361027869,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
985,False,"{'a': 0.1, 'e': 0.44409916442465225}",25,0,-10.499659533338814,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
986,False,"{'a': 0.1, 'e': 0.35243200931534197}",20,5,-26.053871260561984,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
987,False,"{'a': 0.1, 'e': 0.25724347006749937}",25,17,-24.947775099909705,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
988,False,"{'a': 0.1, 'e': 0.15948463910011432}",20,4,-26.27108049659536,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
989,False,"{'a': 0.1, 'e': 0.060132290337467434}",20,0,34.1344702301078,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
990,False,"{'a': 0.1, 'e': 0.0398208803931389}",20,6,28.471341167335062,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
991,False,"{'a': 0.1, 'e': 0.1393761740499041}",20,16,7.399016412278739,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
992,False,"{'a': 0.1, 'e': 0.23753886704718638}",25,3,23.51221301758184,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
993,False,"{'a': 0.1, 'e': 0.33332815020485684}",20,9,-20.65017605381128,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
994,False,"{'a': 0.1, 'e': 0.4257869286693041}",35,13,-18.234476363497315,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
995,False,"{'a': 0.1, 'e': 0.5139913848889341}",25,8,-10.092784210754767,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
996,False,"{'a': 0.1, 'e': 0.5970602090937286}",25,13,16.759741986354644,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
997,False,"{'a': 0.1, 'e': 0.6741634050511123}",25,12,-86.51067269228493,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 1}",1
998,False,"{'a': 0.1, 'e': 0.7445305831140288}",20,0,-67.41135262747795,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
999,False,"{'a': 0.1, 'e': 0.80745865769955}",25,0,-91.3463474029201,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
1000,False,"{'a': 0.1, 'e': 0.8623188722876839}",25,0,-94.08882679893054,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
1001,False,"{'a': 0.1, 'e': 0.9085630817486479}",25,3,-49.957987267242146,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 0}",1
1002,False,"{'a': 0.1, 'e': 0.9457292292277979}",30,0,-119.46066429800321,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
1003,False,"{'a': 0.1, 'e': 0.973445962865028}",30,0,-151.2955727700012,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
1004,False,"{'a': 0.1, 'e': 0.9914363462197612}",20,0,-177.53619043372908,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
1005,False,"{'a': 0.1, 'e': 0.9995206253283515}",25,0,-114.8389091151433,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
1006,False,"{'a': 0.1, 'e': 0.9976180247462524}",20,15,2.786098890186765,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1007,False,"{'a': 0.1, 'e': 0.9857475546295646}",20,0,-46.92606522494658,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1008,False,"{'a': 0.1, 'e': 0.9640278207918351}",25,0,-123.57106327396377,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
1009,False,"{'a': 0.1, 'e': 0.932675839633987}",25,0,-187.31303204160338,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
1010,False,"{'a': 0.1, 'e': 0.8920048697881602}",20,3,-102.52035642189165,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 1}",1
1011,False,"{'a': 0.1, 'e': 0.842421282141011}",20,0,-57.60579561696943,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
1012,False,"{'a': 0.1, 'e': 0.784420499510169}",30,0,-224.38450404509854,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 4}",0
1013,False,"{'a': 0.1, 'e': 0.7185820465431555}",20,0,-143.66218375801958,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
1014,False,"{'a': 0.1, 'e': 0.6455637592987364}",25,0,-192.4907649361085,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
1015,False,"{'a': 0.1, 'e': 0.5660952123664124}",20,1,-112.06101908068096,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 3}",1
1016,False,"{'a': 0.1, 'e': 0.48097042919830946}",20,4,-21.61831613312992,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
1017,False,"{'a': 0.1, 'e': 0.3910399484893553}",30,5,-9.497819200384734,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
1018,False,"{'a': 0.1, 'e': 0.2972023258757038}",30,14,-8.262531206779405,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
1019,False,"{'a': 0.1, 'e': 0.20039515586394296}",25,0,14.234446367032856,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1020,False,"{'a': 0.1, 'e': 0.10158570369662134}",20,7,27.545616986543024,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1021,False,"{'a': 0.1, 'e': 0.0017612407577180785}",20,16,8.090057188658985,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1022,False,"{'a': 0.1, 'e': 0.09808081991663337}",25,14,23.1073632379766,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1023,False,"{'a': 0.1, 'e': 0.19694288945960042}",20,10,-6.387153130253726,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1024,False,"{'a': 0.1, 'e': 0.29383717075173715}",30,1,-34.939453566683866,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 1}",1
1025,False,"{'a': 0.1, 'e': 0.3877955281633778}",30,0,-114.29459516083816,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
1026,False,"{'a': 0.1, 'e': 0.4778791608457815}",20,0,-38.03080324285171,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
1027,False,"{'a': 0.1, 'e': 0.5631879829188501}",25,0,-46.36903101217207,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
1028,False,"{'a': 0.1, 'e': 0.642869616831801}",30,0,-79.73633895631203,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
1029,False,"{'a': 0.1, 'e': 0.7161279100377997}",30,13,-52.3115978203345,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 0}",1
1030,False,"{'a': 0.1, 'e': 0.7822308898871159}",25,0,-104.7814247600202,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
1031,False,"{'a': 0.1, 'e': 0.8405180772558429}",30,13,-84.51795906044656,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 2}",1
1032,False,"{'a': 0.1, 'e': 0.8904070858349585}",35,0,-73.17111002346961,"{0: 25, 1: 6, 2: 3, 3: 0, 4: 1}",0
1033,False,"{'a': 0.1, 'e': 0.931399441141868}",30,0,-238.29686662875196,"{0: 16, 1: 0, 2: 8, 3: 3, 4: 3}",0
1034,False,"{'a': 0.1, 'e': 0.9630855611126041}",30,0,-233.80349721190092,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",1
1035,False,"{'a': 0.1, 'e': 0.9851488485104646}",20,2,-142.8982994120579,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 2}",1
1036,False,"{'a': 0.1, 'e': 0.9973688542609243}",25,0,-139.54214529338546,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
1037,False,"{'a': 0.1, 'e': 0.9996234801059177}",25,0,-147.7118249544513,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
1038,False,"{'a': 0.1, 'e': 0.9918901985692828}",20,10,-8.743070808506424,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
1039,False,"{'a': 0.1, 'e': 0.9742462780438528}",20,0,-8.835365369243119,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
1040,False,"{'a': 0.1, 'e': 0.9468680107512125}",30,0,-218.83127802968932,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
1041,False,"{'a': 0.1, 'e': 0.9100289512880924}",30,0,-108.14098996766552,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
1042,False,"{'a': 0.1, 'e': 0.8640971833592841}",20,0,-75.36737167804831,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
1043,False,"{'a': 0.1, 'e': 0.8095316420068955}",20,0,-71.7248201696081,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
1044,False,"{'a': 0.1, 'e': 0.7468775280831653}",25,0,-260.2873716735556,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 5}",0
1045,False,"{'a': 0.1, 'e': 0.6767608607837156}",20,0,12.704845803196111,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
1046,False,"{'a': 0.1, 'e': 0.5998822226707023}",20,15,-0.8519498589909054,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1047,False,"{'a': 0.1, 'e': 0.5170097596834735}",20,6,-6.3557786459870265,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
1048,False,"{'a': 0.1, 'e': 0.42897150607817996}",25,6,12.674838419750232,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1049,False,"{'a': 0.1, 'e': 0.33664711098329314}",25,13,-1.623998503760643,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1050,False,"{'a': 0.1, 'e': 0.24095904923620143}",30,8,35.07176280250471,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1051,False,"{'a': 0.1, 'e': 0.14286340431959965}",20,12,17.76952586828981,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1052,False,"{'a': 0.1, 'e': 0.04334031549141325}",25,7,32.22992530417879,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1053,False,"{'a': 0.1, 'e': 0.056615815442773935}",20,13,10.09877689937307,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
